id_service,case_ump
5270.2769261,3
5270.2769408,3
5270.2769339,3
5270.2769312,3
5270.2769451,3
5270.2769513,3
5270.2769198,3
5270.2769360,3
5270.2769130,3
5270.2769386,3
5270.2769233,3
5270.2769125,3
5270.2769256,3
5270.2769619,3
5270.2769482,3
5270.2769315,3
5270.2769613,3
5270.2769124,3
5270.2769582,3
5270.2769437,3
5270.2769512,3
5270.2769444,3
5270.2769651,3
5270.2769221,3
5270.2769389,3
5270.2769121,3
5270.2769458,3
5270.2769276,3
5270.2769226,3
5270.2769171,3
5270.2769284,3
5270.2769327,3
5270.2769280,3
5270.2769286,3
5270.2769228,3
5270.2769457,3
5270.2769396,3
5270.2769296,3
5270.2769668,3
5270.2769115,3
5270.2769205,3
5270.2769490,3
5270.2769631,3
5270.2769498,3
5270.2769670,3
5270.2769113,3
5270.2769217,3
5270.2769170,3
5270.2769291,3
5270.2769128,3
5270.2769213,3
5270.2769344,3
5270.2769248,3
5270.2769440,3
5270.2769686,3
5270.2769361,3
5270.2769620,3
5270.2769657,3
5270.2769661,3
5270.2769194,3
5270.2769406,3
5270.2769370,3
5270.2769656,3
5270.2769200,3
5270.2769442,3
5270.2769182,3
5270.2769236,3
5270.2769580,3
5270.2769489,3
5270.2769293,3
5270.2769310,3
5270.2769278,3
5270.2769554,3
5270.2769390,3
5270.2769570,3
5270.2769134,3
5270.2769250,3
5270.2769448,3
5270.2769239,3
5270.2769283,3
5270.2769711,3
5270.2769160,3
5270.2769227,3
5270.2769161,3
5270.2769260,3
5270.2769324,3
5270.2769420,3
5270.2769674,3
5270.2769140,3
5270.2769688,3
5270.2769368,3
5270.2769353,3
5270.2769441,3
5270.2769209,3
5270.2769335,3
5270.2769316,3
5270.2769683,3
5270.2769135,3
5270.2769399,3
5270.2769138,3
5270.2769267,3
5270.2769127,3
5270.2769273,3
5270.2769636,3
5270.2769257,3
5270.2769329,3
5270.2769734,3
5270.2769499,3
5270.2769649,3
5270.2769663,3
5520.5512439,3
5520.5512434,3
5520.5512443,3
5520.5512442,3
5520.5512440,3
5520.5512465,3
5520.5512534,3
5520.5512466,3
5520.5512502,3
5520.5512644,3
5520.5512545,3
5520.5512642,3
5520.5512560,3
5520.5512445,3
5520.5512574,3
5520.5512449,3
5520.5512470,3
5520.5512615,3
5520.5512612,3
5520.5512614,3
5520.5512641,3
5520.5512461,3
5520.5512634,3
5520.5512514,3
5520.5512462,3
5520.5512593,3
5520.5512537,3
5520.5512499,3
5520.5512468,3
5520.5512536,3
5520.5512503,3
5520.5512546,3
5520.5512489,3
5520.5512594,3
5520.5512587,3
5520.5512551,3
5520.5512482,3
5520.5512561,3
5520.5512513,3
5520.5512616,3
5520.5512632,3
5520.5512500,3
5520.5512552,3
5520.5512532,3
5520.5512625,3
5520.5512456,3
5520.5512626,3
5520.5512555,3
5520.5512618,3
5520.5512471,3
5520.5512572,3
5520.5512603,3
5520.5512457,3
5520.5512547,3
5520.5512619,3
5520.5512628,3
5520.5512604,3
5520.5512458,3
5520.5512584,3
5520.5512602,3
5520.5512533,3
5520.5512543,3
5520.5512582,3
5520.5512588,3
5520.5512610,3
5520.5512492,3
5520.5512623,3
5520.5512531,3
5520.5512474,3
5520.5512630,3
5520.5512510,3
5520.5512635,3
5520.5512473,3
5520.5512517,3
5520.5512622,3
5520.5512493,3
5520.5512523,3
5520.5512589,3
5520.5512525,3
5520.5512591,3
5520.5512577,3
5520.5512464,3
5520.5512486,3
5520.5512505,3
